n, q, tp, g, app, MOS, stdev, Queue
70, T, 130, 1, hostVIP, 4.377317188117329, 0.010653830503835355, 6600
70, T, 140, 1, hostVIP, 4.377335882847582, 0.010653674775741622, 7200
70, T, 150, 1, hostVIP, 4.377350767494251, 0.010653457232986427, 7800
70, B, 50, 1, hostVIP, 3.331544301753027, 0.10169483196022057, 21000.0
70, B, 60, 1, hostVIP, 3.764692357034234, 0.0836308388573415, 25200.0
70, B, 70, 1, hostVIP, 4.242349196426545, 0.033732484742704794, 29400.0
70, B, 80, 1, hostVIP, 4.37698244320378, 0.010654740161879107, 33600.0
70, B, 90, 1, hostVIP, 4.377129246593988, 0.010655034068824289, 37800.0
70, B, 100, 1, hostVIP, 4.377208549215391, 0.010654500645720717, 42000.0
70, B, 110, 1, hostVIP, 4.377258435372567, 0.01065423804675711, 46200.0
70, B, 120, 1, hostVIP, 4.377292329982157, 0.010654042022783597, 50400.0
70, B, 130, 1, hostVIP, 4.377317188117329, 0.010653830503835355, 54600.0
70, B, 140, 1, hostVIP, 4.377335882847582, 0.010653674775741622, 58800.0
70, B, 150, 1, hostVIP, 4.377350767494251, 0.010653457232986427, 63000.0
70, 5B, 50, 1, hostVIP, 3.2665016919815173, 0.10032027544983467, 105000.0
70, 5B, 60, 1, hostVIP, 3.5120485704356827, 0.09179087609804679, 126000.0
70, 5B, 70, 1, hostVIP, 3.8966070372436183, 0.056765851257233386, 147000.0
70, 5B, 80, 1, hostVIP, 4.37698244320378, 0.010654740161879107, 168000.0
70, 5B, 90, 1, hostVIP, 4.377129246593988, 0.010655034068824289, 189000.0
70, 5B, 100, 1, hostVIP, 4.377208549215391, 0.010654500645720717, 210000.0
70, 5B, 110, 1, hostVIP, 4.377258435372567, 0.01065423804675711, 231000.0
70, 5B, 120, 1, hostVIP, 4.377292329982157, 0.010654042022783597, 252000.0
70, 5B, 130, 1, hostVIP, 4.377317188117329, 0.010653830503835355, 273000.0
70, 5B, 140, 1, hostVIP, 4.377335882847582, 0.010653674775741622, 294000.0
70, 5B, 150, 1, hostVIP, 4.377350767494251, 0.010653457232986427, 315000.0
70, 10B, 50, 1, hostVIP, 2.888868608381089, 0.09457594124925492, 210000.0
70, 10B, 60, 1, hostVIP, 3.1451319704722893, 0.08315141500592149, 252000.0
70, 10B, 70, 1, hostVIP, 3.872439485932663, 0.0604164205148658, 294000.0
70, 10B, 80, 1, hostVIP, 4.37698244320378, 0.010654740161879107, 336000.0
70, 10B, 90, 1, hostVIP, 4.377129246593988, 0.010655034068824289, 378000.0
70, 10B, 100, 1, hostVIP, 4.377208549215391, 0.010654500645720717, 420000.0
